,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type
2877,2020,Ford,Super Duty F-250,XLT Crew Cab 6.75' Box 4WD,Glassboro,NJ,70714,46811,Pickup Truck,White,Unknown,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Fleet Use
2878,1999,Porsche,911,Carrera Cabriolet Manual,Costa Mesa,CA,52212,32995,Convertible,Arctic Silver Metallic,Graphite Grey,3.4L Flat-6 Gas,RWD,Gas,Manual,0,Clean,3,Personal Use
2879,2018,Jeep,Grand Cherokee,Limited RWD,San Antonio,TX,81216,26490,SUV,Granite Crystal Metallic Clearcoat,Lt Frost Beige/Black,3.6L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Rental Use
2880,2018,GMC,Sierra 1500,SLT Crew Cab Short Box 4WD,Fishers,IN,98000,36990,Pickup Truck,Summit White,Cocoa/Dune,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2881,2018,Ford,F-150,XLT SuperCrew 5.5' Box 2WD,Woodland Hills,CA,35711,35995,Pickup Truck,Shadow Black,Black,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use
2882,2019,Jeep,Grand Cherokee,Laredo 4WD,Carmel,NY,31674,29591,SUV,Bright White Clearcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2883,2019,Honda,CR-V,EX FWD,Paris,TX,47433,26836,SUV,Lunar Silver Metallic,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
2884,2016,Nissan,Altima,2.5 S,Sacramento,CA,116330,12499,Sedan,Gun Metallic,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2885,2000,Mercury,Grand Marquis,4dr Sedan GS,Raleigh,NC,108800,4950,Sedan,Gray,Unknown,4.6L V-8 Gas,RWD,Gas,Automatic,0,Clean,2,Personal Use
2886,2012,Chevrolet,Tahoe,LTZ 4WD,San Angelo,TX,119942,19999,SUV,White Diamond Tricoat,Ebony,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
