,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
7530,2018,Chevrolet,Silverado 1500,LT Double Cab Standard Box 4WD,Denver,CO,"43,806","$32,749",Pickup Truck,Graphite Metallic,Jet Black,4.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7531,2018,Nissan,Rogue,SV AWD,Saint Paul,MN,"39,382","$22,997",SUV,Magnetic Black,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7532,2019,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Tyler,TX,"72,522","$39,980",Pickup Truck,Magnetic Metallic,Black,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7533,2019,Toyota,Highlander,XLE V6 AWD,Pompton Plains,NJ,"37,112","$38,588",SUV,Predawn Gray Mica,Black,3.5L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7534,2020,Honda,Civic,Sport Sedan CVT,Gardena,CA,"14,274","$25,750",Sedan,Crystal Black Pearl,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7535,2016,Ford,F-150,Platinum SuperCrew 5.5' Box 4WD,Vancouver,WA,"174,715","$28,188",Pickup Truck,Black,Unknown,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7536,2017,Lexus,IS,IS Turbo RWD,Rocklin,CA,"40,234","$30,745",Sedan,White,Unknown,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,2,Personal Use,True
7537,2019,Jeep,Cherokee,Trailhawk 4WD,Sterling Heights,MI,"43,675","$25,995",SUV,Bright White Clearcoat,Black,3.2L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7538,2014,Chevrolet,Silverado 1500,LT with 1LT Double Cab Standard Box 2WD,Glendora,CA,"29,630","$29,995",Pickup Truck,Black,Jet Black,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7539,2019,Honda,CR-V,Touring FWD,Naples,FL,"14,396","$30,189",SUV,Molten Lava Pearl,Ivory,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
